District,Location,Types of Operating Hours,"For Vehicles Other Than Medium and Heavy Goods Vehicles, Buses, Motor Cycles and Pedal Cycles ",For Goods Vehicles,For Coaches
YAU TSIM MONG,SHANGHAI STREET,D,8,7,0
YAU TSIM MONG,TAK CHEONG LANE,D,8,0,0
YAU TSIM MONG,TAK SHING STREET,D,0,0,0
YAU TSIM MONG,TEMPLE STREET,D,42,0,0
YAU TSIM MONG,TUNG FONG STREET,D,20,0,0
YAU TSIM MONG,TUNG ON STREET,D,16,5,0
YAU TSIM MONG,WAI CHING STREET,D,18,6,0
YAU TSIM MONG,WING SING LANE,D,0,3,0
YAU TSIM MONG,WOOSUNG STREET,D,58,1,0
YAU TSIM MONG,TO WAH ROAD COACH C/P,Q,0,0,0
YAU TSIM MONG,YAN CHEUNG ROAD C/P,Q,0,0,30
YAU TSIM MONG,AUSTIN AVE,D,11,0,0
YAU TSIM MONG,BLENHEIM AVE.,D,2,0,0
YAU TSIM MONG,BRISTOL AVE,D,0,0,4
YAU TSIM MONG,CAMERON LANE,D,13,0,0
YAU TSIM MONG,CAMERON ROAD,D,0,0,6
YAU TSIM MONG,CARNARVON ROAD,D,28,0,1
YAU TSIM MONG,CHATHAM COURT,D,10,0,0
YAU TSIM MONG,CHATHAM ROAD SOUTH,D,0,0,6
YAU TSIM MONG,GRANVILLE CIRCUIT,D,4,0,0
YAU TSIM MONG,GRANVILLE ROAD,D,10,0,2
YAU TSIM MONG,HANKOW ROAD,D,0,0,4
YAU TSIM MONG,HANOI ROAD,D,4,0,0
YAU TSIM MONG,HART AVE,D,19,0,0
YAU TSIM MONG,HAU FOOK STREET,D,8,0,0
YAU TSIM MONG,HILLWOOD ROAD,D,32,0,0
YAU TSIM MONG,HONG TAT PATH,D,0,0,11
YAU TSIM MONG,HUMPHERYS AVE,D,7,0,0
YAU TSIM MONG,KIMBERLEY ROAD,D,13,0,7
YAU TSIM MONG,KIMBERLEY STREET,D,12,0,0
YAU TSIM MONG,MINDEN AVE,D,2,0,0
YAU TSIM MONG,MODY ROAD,D,5,0,4
YAU TSIM MONG,OBSERVATORY COURT,D,1,0,0
YAU TSIM MONG,OBSERVATORY ROAD,D,11,0,0
YAU TSIM MONG,PRAT AVE.,D,0,0,0
YAU TSIM MONG,CHEONG TUNG RD. COACH PARK  1,D,0,0,33
YAU TSIM MONG,CHEONG TUNG RD. COACH PARK  2,D,0,0,14
YAU TSIM MONG,CHING SHAN STREET,D,0,0,3
YAU TSIM MONG,H.K. COLISEUM C/P,D,0,0,8
YAU TSIM MONG,CHI MAN STREET,D,4,0,0
YAU TSIM MONG,ARRAN STREET,D,17,0,0
YAU TSIM MONG,BUTE STREET,D,13,0,0
YAU TSIM MONG,CANTON ROAD ,D,20,5,3
YAU TSIM MONG,CEDAR STREET,D,15,0,0
YAU TSIM MONG,CHANGSHA STREET,D,6,0,0
YAU TSIM MONG,FA YUEN STREET,D,32,2,0
YAU TSIM MONG,HAK PO STREET,D,35,0,0
YAU TSIM MONG,KAM FONG STREET,D,10,0,0
YAU TSIM MONG,KAM LAM STREET,D,0,16,0
YAU TSIM MONG,KI LUNG STREET ,D,18,0,0
YAU TSIM MONG,KWONG WAH STREET,D,10,0,0
YAU TSIM MONG,PAK PO STREET,D,7,1,0
YAU TSIM MONG,PLAYING FIELD ROAD,D,21,0,0
YAU TSIM MONG,PORTLAND STREET ,D,26,2,2
YAU TSIM MONG,SAI YEE STREET,D,11,0,9
YAU TSIM MONG,SAI YEUNG CHOI STREET SOUTH,D,22,0,0
YAU TSIM MONG,SAI YEUNG CHOI STREET NORTH,D,31,0,0
YAU TSIM MONG,SHANTUNG STREET,D,9,0,0
YAU TSIM MONG,SOY STREET,D,13,0,0
YAU TSIM MONG,SCIENCE MUSEUM ROAD,D,0,0,4
YAU TSIM MONG,TAI NAN STREET ,D,34,0,0
YAU TSIM MONG,TUNG CHOI STREET,D,100,0,0
YAU TSIM MONG,ANCHOR STREET,Q,0,4,0
YAU TSIM MONG,BEDFORD ROAD,D,2,0,0
YAU TSIM MONG,BEDFORD ROAD,Q,0,36,0
YAU TSIM MONG,BEECH STREET,Q,0,13,0
YAU TSIM MONG,CHUNG WUI STREET,D,18,0,0
YAU TSIM MONG,ELM STREET,Q,0,10,0
YAU TSIM MONG,FIR STREET,Q,0,2,0
YAU TSIM MONG,FUK CHAK STREET,Q,0,4,0
YAU TSIM MONG,FUK TSUN STREET,D,4,0,0
YAU TSIM MONG,FUK TSUN STREET,Q,0,5,0
YAU TSIM MONG,IVY STREET,D,9,0,0
YAU TSIM MONG,CHUN WING STREET,D,4,0,0
YAU TSIM MONG,KOK CHEUNG STREET,D,6,0,0
YAU TSIM MONG,LARCH STREET,D,24,0,0
YAU TSIM MONG,LARCH STREET,Q,0,35,0
YAU TSIM MONG,LIME STREET,D,5,0,0
YAU TSIM MONG,LIME STREET,Q,0,9,0
YAU TSIM MONG,LOK KWAN STREET,D,20,0,0
YAU TSIM MONG,MAN ON STREET,D,9,0,0
YAU TSIM MONG,MAN ON STREET,Q,0,6,0
YAU TSIM MONG,MAPLE STREET,D,23,0,0
YAU TSIM MONG,MAPLE STREET ,Q,0,2,0
YAU TSIM MONG,OAK STREET,Q,0,19,0
YAU TSIM MONG,PALM STREET,Q,0,8,0
YAU TSIM MONG,PINE STREET,D,17,0,0
YAU TSIM MONG,POK HOK LANE,D,4,0,0
YAU TSIM MONG,SYCAMORE STREET,D,21,0,0
YAU TSIM MONG,TAI CHING STREET,Q,0,3,0
YAU TSIM MONG,TAI TSUN STREET,D,8,0,0
YAU TSIM MONG,TIT SHU STREET,D,9,0,0
YAU TSIM MONG,WALNUT STREET,Q,0,21,0
YAU TSIM MONG,WILLOW STREET,D,12,0,0
KOWLOON CITY,COLLEGE ROAD,D,23,0,0
KOWLOON CITY,CARPENTER ROAD,D,18,3,0
KOWLOON CITY,DUMBARTON ROAD ,D,8,0,0
KOWLOON CITY,FORFAR ROAD,D,18,0,0
KOWLOON CITY,FUK LO TSUN ROAD,D,55,0,0
KOWLOON CITY,GRAMPIAN ROAD,D,45,0,0
KOWLOON CITY,HAU WONG ROAD,D,51,6,0
KOWLOON CITY,INVERNESS ROAD,D,59,8,14
KOWLOON CITY,KAI TAK ROAD,D,6,3,0
KOWLOON CITY,LION ROCK ROAD,D,47,0,0
KOWLOON CITY,LUNG KONG ROAD,D,33,1,0
KOWLOON CITY,NAM KOK ROAD,D,45,1,0
KOWLOON CITY,NGA TSIN LONG ROAD,D,34,15,0
KOWLOON CITY,SA PO ROAD,D,18,0,0
KOWLOON CITY,SAU CHUK YUEN ROAD,D,46,0,0
KOWLOON CITY,SOUTH WALL ROAD,D,14,4,0
KOWLOON CITY,STIRLING ROAD,D,23,0,0
KOWLOON CITY,SHEK KU LUNG ROAD,D,7,0,0
KOWLOON CITY,TAK KU LING ROAD,D,12,5,0
KOWLOON CITY ,ANHUI STREET,D,10,0,0
KOWLOON CITY,BAILEY STREET,D,0,0,10
KOWLOON CITY,BAKER STREET,D,16,3,0
KOWLOON CITY,BULKELEY STREET,D,2,8,0
KOWLOON CITY,CHEONG HANG ROAD,D,0,0,3
KOWLOON CITY,CHI KIANG STREET,D,6,0,0
KOWLOON CITY,CHUN TIN STREET,D,9,0,0
KOWLOON CITY,COOKE STREET,D,0,9,0
KOWLOON CITY,DYER AVE,D,14,0,6
KOWLOON CITY,GILLIES AVE,D,18,2,0
KOWLOON CITY,HOK YUEN LANE,D,7,0,0
KOWLOON CITY,HOK YUEN STREET,D,14,0,0
KOWLOON CITY,HUNG FOOK STREET,D,13,0,0
KOWLOON CITY,KAI MING STREET,D,8,0,0
KOWLOON CITY,KIANG HSI STREET,D,8,0,0
KOWLOON CITY,KO SHAN ROAD,D,23,0,0
KOWLOON CITY,KUN YAM STREET,D,2,0,0
KOWLOON CITY,LO LUNG HANG STREET,D,11,0,0
KOWLOON CITY,MALACCA STREET,D,5,0,0
KOWLOON CITY,MAN TAI STREET,D,27,1,0
KOWLOON CITY,OI KING STREET,D,4,0,5
KOWLOON CITY,ON CHING ROAD,D,3,0,0
KOWLOON CITY,PAK KUNG STREET,D,22,0,0
KOWLOON CITY,SAN LAU STREET,D,17,0,0
KOWLOON CITY,SAN WAI STREET,D,17,0,0
KOWLOON CITY,SHANSI STREET,D,11,0,0
KOWLOON CITY,SHEK TONG STREET,D,4,7,0
KOWLOON CITY,SHUN YUNG STREET,D,17,0,0
KOWLOON CITY,STATION LANE,D,5,0,0
KOWLOON CITY,TSING CHAU STREET,D,13,0,0
KOWLOON CITY,VALLEY ROAD,D,9,0,0
KOWLOON CITY,WALKER ROAD,D,2,0,0
KOWLOON CITY,WING KWONG STREET,D,23,0,0
KOWLOON CITY,WINSLOW STREET,D,0,0,2
KOWLOON CITY,CHEUNG NING STREET,D,21,4,0
KOWLOON CITY,FARM ROAD,D,6,0,0
KOWLOON CITY,HA HEUNG ROAD,D,47,2,0
KOWLOON CITY,HOP YAT ROAD,D,26,0,0
KOWLOON CITY,KAU PUI LUNG ROAD,D,64,0,6
KOWLOON CITY,KIANG SU STREET,D,16,0,0
KOWLOON CITY,KING WAN STREET,D,0,4,6
KOWLOON CITY,KOWLOON CITY ROAD,D,55,11,6
KOWLOON CITY,LOK SHAN ROAD,D,28,3,0
KOWLOON CITY,MA HANG CHUNG ROAD,D,17,1,0
KOWLOON CITY,MA TAU KOK ROAD C/P,D,12,10,0
KOWLOON CITY,MAIDSTONE LANE,D,18,0,0
KOWLOON CITY,MAIDSTONE ROAD,D,93,0,0
KOWLOON CITY,MEI KING STREET,D,42,0,0
KOWLOON CITY,MEI KWONG STREET,D,12,0,0
KOWLOON CITY,MOK CHEONG STREET,D,2,9,0
KOWLOON CITY,PAK TAI STREET,D,29,0,0
KOWLOON CITY,PAU CHUNG STREET,D,31,4,0
KOWLOON CITY,SAN MA TAU STREET C/P,D,23,2,16
KOWLOON CITY,SAN SHAN ROAD,D,10,0,0
KOWLOON CITY,SHEUNG HEUNG ROAD,D,4,0,0
KOWLOON CITY,SHEUNG LOK STREET,D,6,4,6
KOWLOON CITY,SHING TAK STREET,D,10,0,0
KOWLOON CITY,SHUN FUNG STREET,D,15,0,4
KOWLOON CITY,SZE CHUEN STREET,D,14,0,0
KOWLOON CITY,TIN KWONG ROAD C/P,D,13,0,0
KOWLOON CITY,TIN KWONG ROAD C/P,S,14,0,0
KOWLOON CITY,YUK YAT STREET,D,4,2,0
KOWLOON CITY,YING CHOI PATH,D,3,0,0
KOWLOON CITY ,ARGYLE STREET,D,14,0,0
KOWLOON CITY,BRAGA CIRCUIT,H,6,0,0
KOWLOON CITY,CHUNG YEE STREET,S,9,0,0
KOWLOON CITY,DUNBAR ROAD,D,28,0,0
KOWLOON CITY,EMMA AVE,D,9,0,0
KOWLOON CITY,GOOD SHEPHERD STREET,D,10,0,0
KOWLOON CITY,HAU MAN STREET,D,5,0,0
KOWLOON CITY,HOMANTIN STREET,D,20,0,0
KOWLOON CITY,JULIA AVE,D,10,0,0
KOWLOON CITY,LIBERTY AVE,D,21,0,0
KOWLOON CITY,MAN FUK ROAD,D,17,0,0
KOWLOON CITY,MAN WAN ROAD,D,19,0,0
KOWLOON CITY,PEACE AVE,D,51,0,0
KOWLOON CITY,PERTH STREET,D,22,0,2
KOWLOON CITY,TWEED ROAD ,D,18,0,0
KOWLOON CITY,TWEED ROAD C/P,D,12,0,0
KOWLOON CITY,TWEED ROAD C/P ,B,0,0,5
KOWLOON CITY,VICTORY AVE,D,43,0,0
KOWLOON CITY ,BAPTIST UNIVERSITY ROAD,D,10,0,0
KOWLOON CITY,BAPTIST UNIVERSITY ROAD,Q,0,0,15
KOWLOON CITY ,BEACON HILL ROAD,D,9,0,0
KOWLOON CITY,BELFRAN ROAD,D,2,0,0
KOWLOON CITY,BROADCAST DRIVE,D,50,0,0
KOWLOON CITY,CAMBRIDGE ROAD,D,33,0,0
KOWLOON CITY,CHESTER ROAD,D,4,0,0
KOWLOON CITY,CUMBERLAND ROAD,D,13,0,0
KOWLOON CITY,DEVON ROAD,D,3,0,0
KOWLOON CITY,DORSET CRESCENT,D,3,0,0
KOWLOON CITY,DUKE STREET,D,8,0,0
KOWLOON CITY,DUMBARTON ROAD,D,11,0,0
KOWLOON CITY,DURHAM ROAD,D,3,0,0
KOWLOON CITY,EARL STREET,D,8,0,0
KOWLOON CITY,ESSEX CRESCENT,D,15,0,0
KOWLOON CITY,FESSENDEN ROAD,D,15,0,0
KOWLOON CITY,HAMPSHIRE ROAD,D,16,0,0
KOWLOON CITY,KAM SHING ROAD,D,17,0,0
KOWLOON CITY,LA SALLE ROAD,D,32,0,0
KOWLOON CITY,LINCOLN ROAD,D,6,0,0
KOWLOON CITY,MARCONI ROAD,D,23,0,0
KOWLOON CITY,OXFORD ROAD,D,32,0,0
KOWLOON CITY,STAFFORD ROAD,D,28,0,0
KOWLOON CITY,SURREY LANE,D,5,0,0
KOWLOON CITY,WILTSHIRE ROAD,D,4,0,0
SHAM SHUI PO,APLIU STREET,A,0,2,0
SHAM SHUI PO,APLIU STREET,D,62,0,0
SHAM SHUI PO,BERWICK STREET,D,19,0,0
SHAM SHUI PO,CHEUNG FAT STREET,D,11,0,0
SHAM SHUI PO,CHEUNG WAH STREET,A,0,1,0
SHAM SHUI PO,CHEUNG WAH STREET,D,13,0,0
SHAM SHUI PO,FAT TSEUNG STREET,D,17,0,1
SHAM SHUI PO,FUK WA STREET,A,0,25,0
SHAM SHUI PO,FUK WA STREET,D,91,0,0
SHAM SHUI PO,FUK WING STREET,A,2,34,1
SHAM SHUI PO,FUK WING STREET,D,89,0,0
SHAM SHUI PO,FUK WING STREET,J,0,0,2
SHAM SHUI PO,HAI TAN STREET,A,0,3,0
SHAM SHUI PO,HAI TAN STREET,D,7,0,0
SHAM SHUI PO,HANG CHEUNG STREET,D,5,0,0
SHAM SHUI PO,HING WAH STREET,D,28,0,0
SHAM SHUI PO,HING WAH STREET WEST C/P,A,0,10,0
SHAM SHUI PO,KI LUNG STREET S,D,56,0,0
